#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
-37.0,9,926.565657
-4.0,2,926.704592
-4.0,2,926.827551
-113.0,23,927.397367
-351.0,75,929.91116
-351.0,75,931.981743
-88.0,18,932.459156
-366.0,75,934.807973
-4.0,2,934.931482
-92.0,19,935.627026
-8.0,3,935.749582
-4.0,2,935.8729
-351.0,75,938.01138
-4.0,2,938.088338
-104.0,22,938.843595
-361.0,75,941.299096
-4.0,2,941.422467
-29.0,7,941.683959
-74.0,17,942.192162
-8.0,3,942.331134
-4.0,2,942.487123
-24.0,7,942.718171
-356.0,75,944.65244
-361.0,75,946.872279
-4.0,2,946.950528
-341.0,75,949.422194
-4.0,2,949.54485
-4.0,2,949.638248
-12.0,4,949.92945
-8.0,3,950.174938
-4.0,2,950.234972
-261.0,55,952.032033
-4.0,2,952.140814
-346.0,75,954.707883
-4.0,2,954.8615
-4.0,2,955.07728
-137.0,29,957.022475
-4.0,2,957.225365
-21.0,5,957.534813
56.0,11,958.294348
-366.0,75,981.350492
-12.0,4,981.814486
-41.0,10,982.583212
-37.0,9,983.153718
-75.0,16,984.217631
-361.0,75,989.612091
-366.0,75,994.201719
-4.0,2,994.46184
-4.0,2,994.584671
-42.0,9,995.202052
-4.0,2,995.527546
-4.0,2,995.697835
-366.0,75,1000.634145
-46.0,10,1001.486143
-8.0,3,1001.734533
-4.0,2,1001.996919
68.0,8,1002.704666
-371.0,75,1007.30724
-4.0,2,1007.490723
-366.0,75,1012.142691
-16.0,5,1012.514484
-87.0,19,1013.625218
-4.0,2,1013.794491
-4.0,2,1013.980019
-235.0,46,1016.899377
-104.0,22,1018.106686
-8.0,3,1018.339194
-4.0,2,1018.570776
-4.0,2,1018.739365
-8.0,3,1019.00398
-4.0,2,1019.284327
-356.0,75,1024.262598
-27.0,28,1026.143761
-4.0,2,1026.344645
-53.0,13,1027.164407
-4.0,2,1027.488228
-8.0,3,1027.796217
-4.0,2,1027.997924
-8.0,3,1028.305353
-75.0,16,1029.402809
-8.0,3,1029.66688
-12.0,4,1029.99137
-16.0,5,1030.377249
-366.0,75,1035.106813
-351.0,75,1040.183371
-8.0,3,1040.556114
-4.0,2,1040.680514
-4.0,2,1040.928494
-4.0,2,1041.084886
-4.0,2,1041.224131
-4.0,2,1041.394052
60.0,10,1041.981446
-366.0,75,1046.827262
-361.0,75,1051.886441
-4.0,2,1052.103078
